I	I[ALFS]
wañusqay	wañu[VRoot][=morir][^DB][--]sqa[NS][+Perf][^DB][--]y[NPers][+1.Sg.Poss]

qhepaman	qhipa[NRoot][=atrás][^DB][--]man[Cas][+Dat_Ill]

pipas	pi[PrnInterr][=quién][^DB][--]pas[Amb][+Add]

ñakawamanta	ñakawamanta	+?

,	,[$,]

penantemanpas	penante[NRootES][^DB][--]man[Cas][+Dat_Ill][^DB][--]pas[Amb][+Add]

tukuyman	tuku[VRoot][=acabar,suceder,convertirse][^DB][--]yman[VPers][+1.Sg.Subj.Pot]

.	.[$,]

Chhayna	Chhayna[PrnDem]

kunanmanta	kunan[NRoot][=ahora][^DB][--]manta[Cas][+Abl]

pacha	pacha[NRoot][=mundo,tiempo]

vidayki	vida[NRootES][^DB][--]yki[NPers][+2.Sg.Poss]

awayta	awa[VRoot][=tejer][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

qan	qan[PrnPers+2.Sg]

sapayki	sapa[NRoot][=solo][^DB][--]yki[NPers][+2.Sg.Poss]

yachay	yacha[VRoot][=saber,habitar][^DB][--]y[VPers][+2.Sg.Subj.Imp]

,	,[$,]

paqareq	paqari[VRoot][=amanecer][^DB][--]q[NS][+Ag]

familiarniyki	familiar[NRootES][^DB][--]niyki[NPers][+2.Sg.Poss]

mantenenaykipaq	mantene[VRootES][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]paq[Cas][+Ben]

.	.[$,]

Chhaynatan	Chhayna[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]n[Amb][+DirE]

madrinay	madrina[NRootES][^DB][--]y[NPers][+1.Sg.Poss]

niwaq	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]q[NS][+Ag]

.	.[$,]

Noqataq	Nuqa[PrnPers+1.Sg][^DB][--]taq[Amb][+Con_Intr]

nirani	ni[VRoot][=decir][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

:	:[$,]

-	-[$-]

Bueno	Bueno[SP]

,	,[$,]

mamá	mama[NRoot][=madre,señora]

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

chay	chay[PrnDem]

p'unchaymanta	p'unchay[NRoot][=día][^DB][--]manta[Cas][+Abl]

pacha	pacha[NRoot][=mundo,tiempo]

madrinaypa	madrina[NRootES][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]pa[Cas][+Gen]

wasinmanta	wasi[NRoot][=casa][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]manta[Cas][+Abl]

ripunayachikuyniy	ripunayachikuyniy	+?

sunqoypi	sunqu[NRoot][=corazón][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]pi[Cas][+Loc]

aguja	aguja[NRootES]

hina	hina[Part_Sim]

t'iparayan	t'ipa[VRoot][=abrochar][--]raya[VDeriv][+Perdur][^DB][--]n[VPers][+3.Sg.Subj]

trabajo	trabajo[NRootES]

maskhakoq	maskha[VRoot][=buscar][^DB][--]ku[VDeriv][+Rflx_Int][^DB][--]q[NS][+Ag]

rinaypaq	ri[VRoot][=ir][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben]

.	.[$,]

Manañan	Mana[Part_Neg][^DB][--]ña[Amb][+Disc][^DB][--]n[Amb][+DirE]

ni	ni[SP]

puñuytapas	puñu[VRoot][=dormir][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc][^DB][--]pas[Amb][+Add]

atiranichu	ati[VRoot][=poder,vencer][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Chayllaman	Chay[PrnDem][^DB][--]lla[Amb][+Lim_Aff][^DB][--]man[Cas][+Dat_Ill]

huk	huk[NRootNUM]

arriero	arriero[NRootES]

llaqtayta	llaqta[NRoot][=pueblo][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]ta[Cas][+Acc]

chayamun	chaya[VRoot][=llegar][--]mu[VDeriv][+Cis_Trs][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

kachi	kachi[NRoot][=sal]

azucarta	azúcar[NRootES][^DB][--]ta[Cas][+Acc]

askha	askha[NRoot][=mucho]

mula	mula[NRootES]

caballopi	caballo[NRootES][^DB][--]pi[Cas][+Loc]

apamusqa	apa[VRoot][=llevar][--]mu[VDeriv][+Cis_Trs][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

willmawan	willma[NRoot][=lana][^DB][--]wan[Cas][+Con_Inst]

,	,[$,]

ch'uñuwan	ch'uñu[NRoot][=chuño][^DB][--]wan[Cas][+Con_Inst]

morayawan	moraya[NRootES][^DB][--]wan[Cas][+Con_Inst]

chhalananpaq	chhala[VRoot][=trocar][^DB][--]na[NS][+Obl][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]paq[Cas][+Ben]

.	.[$,]

Hina	Hina[Part_Sim]

niwaranku	ni[VRoot][=decir][^DB][--]wa[VPers][+1.Obj][^DB][--]ra[Tns][+NPst][--]nku[VPers][+3.Pl.Subj]

chay	chay[PrnDem]

Don	Don[SP]

Jacinto	Jacinto[NP]

Mamani	Mamani[NRoot][=gavilán]

sutiyoqmi	suti[NRoot][=nombre][^DB][--]yuq[NDeriv][+Poss][^DB][--]mi[Amb][+DirE]

,	,[$,]

Qosqota	Qusqu[NRoot][NP][^DB][--]ta[Cas][+Acc]

chikuchakunata	chico[NRootES][--]cha[NDeriv][+Dim][--]kuna[Num][+Pl][^DB][--]ta[Cas][+Acc]

apayta	apa[VRoot][=llevar][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

yachan	yacha[VRoot][=saber,habitar][^DB][--]n[VPers][+3.Sg.Subj]

compadrenkunaq	compadre[NRootES][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]q[Cas][+Gen]

muchachonpaq	muchacho[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]paq[Cas][+Ben]

.	.[$,]

Chayta	Chay[PrnDem][^DB][--]ta[Cas][+Acc]

yachaspan	yacha[VRoot][=saber,habitar][^DB][--]spa[NS][+SS][^DB][--]n[NPers][+3.Sg.Poss]

maskhamurani	maskha[VRoot][=buscar][--]mu[VDeriv][+Cis_Trs][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

mulankunaq	mula[NRootES][^DB][--]n[NPers][+3.Sg.Poss][--]kuna[Num][+Pl][^DB][--]q[Cas][+Gen]

corralninpi	corral[NRootES][^DB][--]nin[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc]

.	.[$,]

Hinaspa	Hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

nirani	ni[VRoot][=decir][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

:	:[$,]

-	-[$-]

Papáy	Papa[NRoot][=patata][^DB][--]y[NPers][+1.Sg.Poss]

Jacinto	Jacinto[NP]

,	,[$,]

compadreykikunaq	compadre[NRootES][^DB][--]yki[NPers][+2.Sg.Poss][--]kuna[Num][+Pl][^DB][--]q[Cas][+Gen]

wasinpi	wasi[NRoot][=casa][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc]

llank'amunaypaqmi	llank'a[VRoot][=trabajar][--]mu[VDeriv][+Cis_Trs][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben][^DB][--]mi[Amb][+DirE]

Qosqota	Qusqu[NRoot][NP][^DB][--]ta[Cas][+Acc]

apawanaykita	apa[VRoot][=llevar][^DB][--]wa[VPers][+1.Obj][^DB][--]na[NS][+Obl][^DB][--]yki[NPers][+2.Sg.Poss][^DB][--]ta[Cas][+Acc]

munani	muna[VRoot][=querer][^DB][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Chayta	Chay[PrnDem][^DB][--]ta[Cas][+Acc]

uyariwaspataqmi	uya[VRoot][=entender][--]ri[VDeriv][+Inch][^DB][--]wa[VPers][+1.Obj][^DB][--]spa[NS][+SS][^DB][--]taq[Amb][+Con_Intr][^DB][--]mi[Amb][+DirE]

wiraqocha	wira[NRoot][=grasa]qucha[NRoot][=lago]

Jacinto	Jacinto[NP]

chakiymanta	chaki[NRoot][=pie][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]manta[Cas][+Abl]

umayman	uma[NRoot][=cabeza][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

qhawaywaspa	qhawaywaspa	+?

nin	ni[VRoot][=decir][^DB][--]n[VPers][+3.Sg.Subj]

:	:[$,]

Chikuraq	Chico[NRootES][^DB][--]raq[Amb][+Cont]

kanki	ka[VRoot][=ser][^DB][--]nki[VPers][+2.Sg.Subj]

.	.[$,]

Chayman	Chay[PrnDem][^DB][--]man[Cas][+Dat_Ill]

,	,[$,]

mana	mana[Part_Neg]

noqa	nuqa[PrnPers+1.Sg]

yachanichu	yacha[VRoot][=saber,habitar][^DB][--]ni[VPers][+1.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

maymantaraqchá	may[PrnInterr][=dónde][^DB][--]manta[Cas][+Abl][^DB][--]raq[Amb][+Cont][^DB][--]chá[Amb][+Asmp_Emph]

weqeykuna	wiqi[NRoot][=lágrima][^DB][--]y[NPers][+1.Sg.Poss][--]kuna[Num][+Pl]

waqwarimun	waqwa[VRoot][=escasear][--]ri[VDeriv][+Inch][--]mu[VDeriv][+Cis_Trs][^DB][--]n[VPers][+3.Sg.Subj]

,	,[$,]

hinaspa	hina[VRoot][=hacer_así,ser_así][^DB][--]spa[NS][+SS]

waqayuspa	waqa[VRoot][=llorar][--]yu[VDeriv][+Aff][^DB][--]spa[NS][+SS]

nini	ni[VRoot][=decir][^DB][--]ni[VPers][+1.Sg.Subj]

:	:[$,]

Amayá	Ama[Part_Neg_Imp][^DB][--]yá[Amb][+Emph]

,	,[$,]

papáy	papa[NRoot][=patata][^DB][--]y[NPers][+1.Sg.Poss]

,	,[$,]

wakcha	wakcha[NRoot][=pobre]

sapaymi	sapa[NRoot][=solo][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]mi[Amb][+DirE]

kani	ka[VRoot][=ser][^DB][--]ni[VPers][+1.Sg.Subj]

,	,[$,]

manan	mana[Part_Neg][^DB][--]n[Amb][+DirE]

madrinayman	madrina[NRootES][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]man[Cas][+Dat_Ill]

teneyta	tene[VRootES][^DB][--]y[NS][+Inf][^DB][--]ta[Cas][+Acc]

munawanñachu	muna[VRoot][=querer][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]ña[Amb][+Disc][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Chayqa	Chay[PrnDem][^DB][--]qa[Amb][+Top]

contestamuwan	contesta[VRootES][--]mu[VDeriv][+Cis_Trs][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj]

:	:[$,]

Entonces	Entonces[NRootES]

,	,[$,]

ñanpi	ñan[NRoot][=camino][^DB][--]pi[Cas][+Loc]

martesta	martes[NRootES][^DB][--]ta[Cas][+Acc]

suyawanki	suya[VRoot][=esperar][^DB][--]wa[VPers][+1.Obj][^DB][--]nki[VPers][+2.Sg.Subj]

Yuraq	Yuraq[NRoot][=blanco]

Mayu	Mayu[NRoot][=río]

chakaq	chaka[NRoot][=puente][^DB][--]q[Cas][+Gen]

ladonpi	lado[NRootES][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]pi[Cas][+Loc]

.	.[$,]

Kunankamapas	Kunan[NRoot][=ahora][^DB][--]kama[Cas][+Term][^DB][--]pas[Amb][+Add]

yuyashanin	yuya[VRoot][=recordar,pensar][^DB][--]sha[Asp][+Prog][--]ni[VPers][+1.Sg.Subj][^DB][--]n[Amb][+DirE]

,	,[$,]

imayna	imayna[PrnInterr][=cómo]

hatun	hatun[NRoot][=grande]

kankaraysi	kanka[VRoot][=asar][^DB][--]ra[Tns][+NPst][--]y[VPers][+2.Sg.Subj.Imp][^DB][--]si[Amb][+IndE]

chay	chay[PrnDem]

tawa	tawa[NRootNUM]

p'unchay	p'unchay[NRoot][=día]

suyasqay	suya[VRoot][=esperar][^DB][--]sqa[NS][+Perf][^DB][--]y[NPers][+1.Sg.Poss]

karan	ka[VRoot][=ser][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

llaqtaymanta	llaqta[NRoot][=pueblo][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]manta[Cas][+Abl]

hanpunaypaq	hampu[VRoot][=regresar][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben]

chayta	chay[PrnDem][^DB][--]ta[Cas][+Acc]

.	.[$,]

Manan	Mana[Part_Neg][^DB][--]n[Amb][+DirE]

hayk'aqpas	hayk'aq[PrnInterr][=cuándo][^DB][--]pas[Amb][+Add]

p'unchaykuna	p'unchay[NRoot][=día][--]kuna[Num][+Pl]

chhayna	chhayna[PrnDem]

hatun	hatun[NRoot][=grande]

largo	largo[NRootES]

suyasqa	suya[VRoot][=esperar][^DB][--]sqa[NS][+Perf]

p'unchaykuna	p'unchay[NRoot][=día][--]kuna[Num][+Pl]

Qosqoman	Qusqu[NRoot][NP][^DB][--]man[Cas][+Dat_Ill]

hamunaypaq	hamu[VRoot][=venir][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]paq[Cas][+Ben]

hinaqa	hina[Part_Sim][^DB][--]qa[Amb][+Top]

kanchu	ka[VRoot][=ser][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

.	.[$,]

Hoq	Huq[NRootNUM]

kutillan	kuti[NRoot][=vez][^DB][--]lla[Amb][+Lim_Aff][^DB][--]n[Amb][+DirE]

,	,[$,]

faenapi	faena[NRootES][^DB][--]pi[Cas][+Loc]

,	,[$,]

tayta	tayta[NRoot][=padre]

Laureano	Laureano[NP]

Kutipata	Kutipa[NP][^DB][--]ta[Cas][+Acc]

Qosqomanta	Qusqu[NRoot][NP][^DB][--]manta[Cas][+Abl]

rimaqta	rima[VRoot][=hablar][^DB][--]q[NS][+Ag][^DB][--]ta[Cas][+Acc]

uyarirani	uya[VRoot][=entender][--]ri[VDeriv][+Inch][^DB][--]ra[Tns][+NPst][--]ni[VPers][+1.Sg.Subj]

.	.[$,]

Tayta	Tayta[NRoot][=padre]

Laureano	Laureano[NP]

alcalde	alcalde[NRootES]

varayoq	vara[NRootES][^DB][--]yuq[NDeriv][+Poss]

kashaqtinmi	ka[VRoot][=ser][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]mi[Amb][+DirE]

,	,[$,]

chay	chay[PrnDem]

faenapi	faena[NRootES][^DB][--]pi[Cas][+Loc]

niran	ni[VRoot][=decir][^DB][--]ra[Tns][+NPst][--]n[VPers][+3.Sg.Subj]

Inka	Inka[NRoot][=inca]

Qosqota	Qusqu[NRoot][NP][^DB][--]ta[Cas][+Acc]

hatarichishaqtinsi	hata[VRoot][=levantarse][--]ri[VDeriv][+Inch][^DB][--]chi[VDeriv][+Caus][^DB][--]sha[Asp][+Prog][^DB][--]qti[NS][+DS][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]si[Amb][+IndE]

machulanchiskuna	machula[NRoot][=abuelo][^DB][--]nchis[NPers][+1.Pl.Incl.Poss][--]kuna[Num][+Pl]

chaypi	chay[PrnDem][^DB][--]pi[Cas][+Loc]

tiyaq	tiya[VRoot][=haber,estar,habitar,estar_sentado][^DB][--]q[NS][+Ag]

hinas	hina[Part_Sim][^DB][--]s[Amb][+IndE]

lliwsi	lliw[NRoot][=todo][^DB][--]si[Amb][+IndE]

panpa	panpa[NRoot][=suelo,tierra]

,	,[$,]

manas	mana[Part_Neg][^DB][--]s[Amb][+IndE]

urqopas	urqu[NRoot][=cerro][^DB][--]pas[Amb][+Add]

kasqachu	ka[VRoot][=ser][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

wintullas	wintu[NRootES][^DB][--]lla[Amb][+Lim_Aff][^DB][--]s[Amb][+IndE]

waka	waka[NRootES]

hina	hina[Part_Sim]

qepayusparaq	qipa[VRoot][=quedar][--]yu[VDeriv][+Aff][^DB][--]spa[NS][+SS][^DB][--]raq[Amb][+Cont]

haykumoq	hayku[VRoot][=entrar][--]mu[VDeriv][+Cis_Trs][^DB][--]q[NS][+Ag]

,	,[$,]

Inkaq	Inka[NRoot][=inca][^DB][--]q[Cas][+Gen]

wasitana	wasitana	+?

pirqataña	pirqa[NRoot][=pared][^DB][--]ta[Cas][+Acc][^DB][--]ña[Amb][+Disc]

hatarichisqantapas	hata[VRoot][=levantarse][--]ri[VDeriv][+Inch][^DB][--]chi[VDeriv][+Caus][^DB][--]sqa[NS][+Perf][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc][^DB][--]pas[Amb][+Add]

lliwtas	lliw[NRoot][=todo][^DB][--]ta[Cas][+Acc][^DB][--]s[Amb][+IndE]

thuniyarachipoq	thuni[VRoot][=destruir][--]ya[VDeriv][+Aff][--]ra[VDeriv][+Rptn][^DB][--]chi[VDeriv][+Caus][--]pu[VDeriv][+Rgr_Iprs][^DB][--]q[NS][+Ag]

.	.[$,]

Chaysi	Chay[PrnDem][^DB][--]si[Amb][+IndE]

huk	huk[NRootNUM]

p'unchay	p'unchay[NRoot][=día]

Inka	Inka[NRoot][=inca]

warminta	warmi[NRoot][=mujer][^DB][--]n[NPers][+3.Sg.Poss][^DB][--]ta[Cas][+Acc]

nisqa	ni[VRoot][=decir][^DB][--]sqa[Tns_VPers][+3.Sg.Subj.IPst]

:	:[$,]

Carajo	Carajo[NRootES]

!	![$,]

Chay	Chay[PrnDem]

wintun	wintu[NRootES][^DB][--]n[Amb][+DirE]

mana	mana[Part_Neg]

llank'aqta	llank'a[VRoot][=trabajar][^DB][--]q[NS][+Ag][^DB][--]ta[Cas][+Acc]

dejawanchu	deja[VRootES][^DB][--]wa[VPers][+1.Obj][^DB][--]n[VPers][+3.Sg.Subj][^DB][--]chu[Amb][+Intr_Neg]

,	,[$,]

huk	huk[NRootNUM]

kanchamanmi	kancha[NRootES][^DB][--]man[Cas][+Dat_Ill][^DB][--]mi[Amb][+DirE]

wisq'amusaq	wisq'a[VRoot][=cerrar][--]mu[VDeriv][+Cis_Trs][^DB][--]saq[VPers][+1.Sg.Subj.Fut]

hasta	hasta[NRootES]

Qosqo	Qusqu[NRoot][NP]

ruway	ruwa[VRoot][=hacer][^DB][--]y[NS][+Inf]

tukunaykama	tuku[VRoot][=acabar,suceder,convertirse][^DB][--]na[NS][+Obl][^DB][--]y[NPers][+1.Sg.Poss][^DB][--]kama[Cas][+Term]

.	.[$,]

Chhaynatas	Chhayna[PrnDem][^DB][--]ta[Cas][+Acc][^DB][--]s[Amb][+IndE]

riki	riki[NRoot][=por_supuesto]

Inka	Inka[NRoot][=inca]

Rayata	Rayata	+?

pasan	pasa[VRootES][^DB][--]n[VPers][+3.Sg.Subj]

wintu	wintu[NRootES]

wisq'aq	wisq'a[VRoot][=cerrar][^DB][--]q[NS][+Ag]

,	,[$,]

chaypaqsi	chay[PrnDem][^DB][--]paq[Cas][+Ben][^DB][--]si[Amb][+IndE]

riki	riki[NRoot][=por_supuesto]

hatun	hatun[NRoot][=grande]

karay	karay[NRoot][=grande]

kancha	kancha[NRootES]

